"time","lat","lon","average","max","min","range","remarks","sound"
"2021-07-17_11-31-34",35.50376725,139.53574747,62,63.9,59.9,4,"ウグイス、コジュケイ","https://drive.google.com/file/d/1YCbGmvtd5WRSoNVxDiNz_8xMoDqyeuUp/view?usp=sharing"
"2021-07-17_11-34-18",35.50345268,139.53591332,56.6,58.2,54.8,3.4,"カラス","https://drive.google.com/file/d/13JovvlTDFKmOJnBFdPi64SHL0fEXuH3u/view?usp=sharing"
"2021-07-17_11-36-56",35.50253311,139.53648274,54.8,56.4,53.2,3.2,"ヒヨドリ","https://drive.google.com/file/d/1CdVBGjM3A7MZ7Nu5XIFh5S1vEct-ArXF/view?usp=sharing"
"2021-07-17_11-39-06",35.5019874,139.53649542,48.8,51,46.1,4.9,"ヒヨドリ","https://drive.google.com/file/d/1i7heT0brJc3U6maFbJa8NdUeJACG89nt/view?usp=sharing"
"2021-07-17_11-41-17",35.50137784,139.53629286,45.7,49.2,41.7,7.5,,"https://drive.google.com/file/d/1XY4Ur79WbuWFP95d6lsZLTCro9rrrhnD/view?usp=sharing"
"2021-07-17_11-43-45",35.50064224,139.5359859,47,48.6,46,2.6,"ヒヨドリ","https://drive.google.com/file/d/1CAZnLEHVrEwmLJ6H1q3fPSW7ipNh937_/view?usp=sharing"
"2021-07-17_11-48-56",35.50184095,139.53689522,58.6,60.3,56.5,3.8,,"https://drive.google.com/file/d/1EX27F8eitHzl4gHyphy5I-i_L_IXLHJ8/view?usp=sharing"
"2021-07-17_11-51-33",35.50208856,139.53729075,58.6,60.3,56.5,3.8,,"https://drive.google.com/file/d/1JSZ9HMQxcvKWWIWYdN4iNnbxunGVSOg6/view?usp=sharing"
"2021-07-17_11-55-10",35.50277236,139.53726938,59,60.4,57.8,2.6,"ヒヨドリ","https://drive.google.com/file/d/122ZEwpQ1r9waerjqPHrwNhBSaInpf6qL/view?usp=sharing"
"2021-07-17_11-58-44",35.50336384,139.53707539,60.1,61.6,58.3,3.3,"カラス、ガビチョウ","https://drive.google.com/file/d/1heCHiIBfYToM5u92bfrS6IJ9wMIx3jic/view?usp=sharing"
"2021-07-17_12-00-40",35.50372693,139.53671577,54.4,56.1,51.8,4.3,,"https://drive.google.com/file/d/1k97jCcKC4YdjfjiQ4H6Ng6qmlUZ5pGeK/view?usp=sharing"
"2021-07-17_12-03-30",35.50449352,139.53692627,52.4,63.3,48.4,14.9,"カラス、ガビチョウ","https://drive.google.com/file/d/1xfvlvJ7jfzI5Jbv9ov4TWjl7e8rmx7-Y/view?usp=sharing"
"2021-07-17_12-05-20",35.5047658,139.53677751,60.6,62.5,57.7,4.8,"カラス","https://drive.google.com/file/d/1P_ANbekSGZcCf-bzQ1bVpfxchcYq8AH0/view?usp=sharing"
"2021-07-17_12-09-59",35.50498569,139.53701013,47.7,55.1,46,9.1,,"https://drive.google.com/file/d/1R631bTbkbVU3Jwb6L3yPUHXBbdwKZoNY/view?usp=sharing"
"2021-07-17_12-16-32",35.50548704,139.53660177,42.8,59.6,34.8,24.8,"シジュウカラ","https://drive.google.com/file/d/1f2HTMmctPKIXvk9pSQf-oCXrrK3h8sR8/view?usp=sharing"
"2021-07-17_12-21-23",35.5048313,139.53660705,47.8,58.5,43.7,14.8,"子供","https://drive.google.com/file/d/1Bghc25kt9kPbyFoRafv2ChNzz_DXg847/view?usp=sharing"
"2021-07-17_12-23-28",35.5041143,139.53606447,54.8,57.1,51.5,5.6,,"https://drive.google.com/file/d/1EKp9MHX9xTKq1Fncb_E7Tir9tRrrjFaC/view?usp=sharing"
"2021-07-17_12-25-50",35.50378956,139.53534597,56.9,59.5,55.1,4.4,,"https://drive.google.com/file/d/1mSetEv7ZvUvC7es6rkD76yvBry3e8uQN/view?usp=sharing"
"2021-07-17_12-27-52",35.50416441,139.53552802,45.5,47.9,43.1,4.8,,"https://drive.google.com/file/d/1espA0Cej79of7LiL67yrZObpc5aPTNO7/view?usp=sharing"
"2021-07-17_12-30-10",35.5047998,139.53592065,45.8,48.9,42.7,6.2,,"https://drive.google.com/file/d/11qjtu8INQ1DfWaxyk91nCOSWrDxKVNw2/view?usp=sharing"
"2021-07-17_12-39-15",35.5055158,139.53601665,39.7,48.9,36.7,12.2,"ヒヨドリ、ウグイス","https://drive.google.com/file/d/1mSetEv7ZvUvC7es6rkD76yvBry3e8uQN/view?usp=sharing"
"2021-07-17_12-41-48",35.50598854,139.53591941,52,61.1,49.2,11.9,"ヒヨドリ、ウグイス","https://drive.google.com/file/d/1Llgj0PDSrVfnQer2PBmUXDk6ggUp_5CR/view?usp=sharing"
"2021-07-17_12-44-27",35.50599223,139.53492329,48.8,55.6,40.5,15.1,"自動車","https://drive.google.com/file/d/1Q6C9_YwWcIb6xEI6b1cRBY-_VZwB6qN4/view?usp=sharing"
"2021-07-18_12-39-55",35.50580599,139.53720908,44.4,62.5,38.6,23.9,"カラス","https://drive.google.com/file/d/18h-scRD2hKUB0e-jr-YamscPa22oDEBA/view?usp=sharing"
"2021-07-18_12-43-09",35.50455004,139.53741525,56.2,57.9,54.5,3.4,"子供","https://drive.google.com/file/d/1tB1cknDPHTX0oWjYFM5_Z3FOtPbDlrMc/view?usp=sharing"
"2021-07-18_12-45-39",35.50445945,139.53805211,60.1,62.2,57.9,4.3,"子供","https://drive.google.com/file/d/1pJtKetP0XZpSvdW05Bv1qbbOcT_R2ZM0/view?usp=sharing"
"2021-07-18_12-49-29",35.50331999,139.53865817,58,65.6,55.2,10.4,"子供","https://drive.google.com/file/d/1G_N_HhNJLc1KkaXdb7EFaSEjGhLngd-x/view?usp=sharing"
"2021-07-18_12-51-52",35.5024945,139.53894497,60.2,61.8,58.1,3.7,,"https://drive.google.com/file/d/1V04tHVWXYUi-OcaBidms3Yi_BI7nirD3/view?usp=sharing"
"2021-07-18_12-55-09",35.5014854,139.53873788,53.7,57,51.8,5.2,"子供","https://drive.google.com/file/d/15b2jjPCnnXc6Ut1EP65AvSs3foxH9jhM/view?usp=sharing"
"2021-07-18_12-58-45",35.50261476,139.53812146,57,68,54.9,13.1,"子供","https://drive.google.com/file/d/1_soGwDWqBhSXhAp_ub9sTjPYUx4P2ZeC/view?usp=sharing"
